,line_sequence,data_mode
IMG_0672,10,train
IMG_0673,10,train
IMG_0674,10,train
IMG_0675,10,train
IMG_0676,10,train
IMG_0677,10,train
IMG_0679,10,test
IMG_0680,11,train
IMG_0681,10,test
IMG_0682,11,train
IMG_0877,10,val
IMG_0878,10,train
IMG_0879,10,train
IMG_0880,10,train
IMG_0881,10,test
IMG_0882,10,train
IMG_0883,10,test
IMG_0884,10,train
IMG_0885,10,train
IMG_0886,10,val
IMG_0887,10,train
IMG_0888,10,train
IMG_0889,10,test
IMG_0890,10,train
IMG_0891,10,test
IMG_0892,10,test
IMG_0893,10,train
IMG_0894,10,train
IMG_0895,10,train
IMG_0896,10,train
IMG_0897,10,train
IMG_0898,10,train
IMG_0899,10,test
IMG_0900,10,train
IMG_0901,10,train
IMG_0902,10,test
IMG_0903,11,test
IMG_0904,11,train
IMG_0905,11,train
IMG_0906,11,val
IMG_0907,11,train
IMG_0909,10,val
IMG_0910,10,val
IMG_0911,10,train
IMG_0912,10,test
IMG_0913,10,test
IMG_0914,10,test
IMG_0915,10,train
IMG_0916,10,val
IMG_0917,10,train
IMG_0918,10,test
IMG_0919,10,val
IMG_0920,10,train
IMG_0921,10,test
IMG_0922,10,train
IMG_0923,10,train
IMG_0924,10,train
IMG_0925,10,val
IMG_0926,10,val
IMG_0927,10,val
IMG_0928,10,train
IMG_0929,10,train
IMG_0930,10,train
IMG_0931,10,train
IMG_0932,10,train
IMG_0933,10,train
IMG_0934,10,test
IMG_0935,11,test
IMG_0936,11,train
IMG_0937,11,train
IMG_0938,10,train
IMG_0940,10,train
IMG_0941,10,train
IMG_0942,11,val
IMG_0943,10,train
IMG_0944,10,test
IMG_0945,10,train
IMG_0946,11,train
IMG_0947,11,train
IMG_0948,10,val
IMG_0949,10,train
IMG_0950,10,test
IMG_0951,10,train
IMG_0952,10,train
IMG_0953,10,train
IMG_0954,10,test
IMG_0955,10,train
IMG_0956,10,train
IMG_0957,10,train
IMG_0958,11,test
IMG_0959,11,val
IMG_0960,10,train
IMG_0961,10,train
IMG_0962,11,test
IMG_0963,11,train
IMG_0964,10,train
IMG_0965,10,train
IMG_0966,11,train
IMG_0967,11,train
IMG_0968,10,train
IMG_0969,10,train
IMG_0970,10,val
IMG_0971,10,test
IMG_0972,10,train
IMG_0973,10,test
IMG_0974,11,val
IMG_0975,10,val
IMG_0976,10,train
IMG_0977,10,train
IMG_0978,11,train
IMG_0979,11,train
IMG_0980,10,test
IMG_0981,10,train
IMG_0982,10,train
IMG_0983,10,val
IMG_0984,10,val
IMG_0985,10,train
IMG_0986,10,train
IMG_0987,10,val
IMG_0988,10,val
IMG_0989,10,train
IMG_0990,11,val
IMG_0991,11,train
IMG_0992,10,val
IMG_0993,10,train
IMG_0994,11,train
IMG_0995,11,train
IMG_0996,10,train
IMG_0997,10,train
IMG_0998,11,val
IMG_0999,11,val
IMG_1001,10,train
IMG_1002,10,train
IMG_1003,10,train
IMG_1004,10,test
IMG_1006,10,test
IMG_1007,10,train
IMG_1008,10,train
IMG_1009,10,train
IMG_1010,10,train
IMG_1011,10,test
IMG_1012,10,val
IMG_1013,10,test
IMG_1014,10,train
IMG_1015,10,train
IMG_1016,10,train
IMG_1017,10,train
IMG_1018,10,train
IMG_1019,10,train
IMG_1020,11,val
IMG_1021,11,train
IMG_1022,11,train
IMG_1023,11,train
IMG_1024,10,val
IMG_1025,10,train
IMG_1026,10,val
IMG_1027,10,val
IMG_1028,10,train
IMG_1029,10,train
IMG_1030,10,test
IMG_1031,10,train
IMG_1032,10,test
IMG_1033,10,val
IMG_1034,10,train
IMG_1035,10,train
IMG_1036,10,train
IMG_1037,10,train
IMG_1038,10,train
IMG_1039,11,train
IMG_1040,11,train
IMG_1041,11,test
IMG_1042,11,train
